name_of_the_product,"12 MacBook (Mid 2017, Gold)","12 MacBook (Mid 2017, Silver)",12.3 32GB Multi-Touch 2-in-1 Chromebook Plus,"13.3 MacBook Air (Mid 2017, Silver)","15.4 MacBook Pro with Touch Bar (Late 2016, Silver)","15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray)",ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X,"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray""",Acer 15.6 Chromebook CB5-571-C4G4,"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver""","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver""","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray""","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Silver""","Apple 13.3 MacBook Air ( Silver)""","Apple MacBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English""","Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver""","Apple MacBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English""","Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum""","Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""","Dell - XPS 2-in-1 13.3 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver""","Dell XPS 15 15.6 4K Touchcreen Laptop Intel i7-6700HQ 16GB 1TB SSD GTX 960M""","Details About Alienware 13 R3 Aw13r3/13.3 Fhd/i77700hq/nvidia Gtx 1060/16gb/512gb Ssd""","Details About Alienware 15 R3 Aw15r3/15.6 Fhd/i77700hq/nvidia Gtx1070/16gb/1tb Hdd+128gb Ssd""","Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb""","Details About Asus Q304 13.3 Laptop I5 2.5 Ghz 6gb 1tb Hdd Win 10 (q304uabhi5t11)""","Details About Dell Inspiron I75675650blkpus 15.6 Laptop I57300hq""","Details About Openbox Excellent: Asus Rog Gl502vm 15.6 Laptop Intel Core I7 12gb Me...""","Details About Razer Blade Laptop 14 Full Hd (i77700hq""","Ginsu BESTBUY5580020 Lenovo Ideapad 11.6 Laptop""","HP - ProBook 14 Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black""","HP 15-AY103DX 15.6 Touchscreen Touch Screen HD Laptop Notebook PC Computer 7th Gen i5-7200U Kaby Lake 8GB Memory 1TB HDD Hard Drive Windows 10""","Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue""","Lenovo - Yoga 710 2-in-1 11.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver Tablet PC Notebook 80V6000PUS""","Lenovo 80TX0007US Y 710-11ISK 11.6-Inch FHD Touch Laptop (Pentium 4405Y, 4 GB Ram, 128 GB SSD, Windows 10), SilverNotebook PC Computer Tablet Touchscreen Screen 2-in-1","Lenovo Flex 4 1470 80SA0000US 2-in-1 - 14 HD Touch - Pentium 4405U 2.1Ghz - 4GB - 500GB""","MSI - WS Series 15.6 Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive + 2TB Hard Drive - Aluminum Black""","New Asus Q524u 15.6fhd 2in1 Touch I77500u 3.5ghz 16gb Ddr4 2tb Hd 940mx2gb W10""","Razer - Blade Pro 17.3 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black""","Samsung - Notebook 5 15.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Solid black"""
"12 MacBook (Mid 2017, Gold)",-9.33,18.5,-4.17,-10.06,3.49,4.88,10.34,1.61,4.22,15.08,9.91,10.68,24.56,4.29,2.78,5.59,10.03,-10.5,19.28,-6.09,12.64,5.63,4.29,22.12,2.01,-9.55,2.32,-0.62,17.27,10.28,1.34,0.32,-5.5,14.08,-3.89,12.34,-4.49,7.27,19.02
"12 MacBook (Mid 2017, Silver)",-10.51,-10.45,-10.48,-17.18,-7.97,-7.54,-10.59,-7.41,-5.73,-5.69,-12.03,-11.27,-7.8,-8.09,-8.72,-5.43,-9.42,-13.67,-9.61,-12.52,-1.93,-10.45,-7.64,-9.77,-6.74,-13.48,-9.07,-10.24,-1.19,-8.99,-7.11,-8.76,-12.13,-3.16,-10.11,-11.23,-11.02,-11.53,-8.17
12.3 32GB Multi-Touch 2-in-1 Chromebook Plus,-9.5,-8.38,-7.2,-10.42,-6.41,-4.72,-7.75,-3.33,-2.47,-4.63,-9.13,-8.63,-7.63,-3.44,-4.91,-2.33,-5.52,-7.58,-7.11,-5.92,-0.15,-5.91,-3.9,-9.45,-3.8,-7.86,-4.46,-5.5,0.25,-6.39,-3.58,-6.23,-5.08,-1.61,-7.31,-5.87,-3.55,-8.43,-4.26
"13.3 MacBook Air (Mid 2017, Silver)",0.89,2.71,0.37,2.71,-1.4,-1.56,6.88,-2.22,-0.62,-0.14,1.32,1.45,-0.91,-3.7,-2.25,-2.06,-3.03,1.65,-3.85,-1.83,-2.12,1.32,0.58,-5.68,-1.15,3.09,-0.28,-0.28,0.01,-1.23,-0.03,-1.18,-3.7,-2.62,-1.07,-1.32,-3.13,-0.38,-0.9
"15.4 MacBook Pro with Touch Bar (Late 2016, Silver)",1.9,-2.03,-15.32,3.39,-37.74,-34.62,-3.39,-38.64,-26.44,-11.86,-0.73,1.4,1.78,-45.42,-25.62,-35.78,-28.94,-6.03,-5.78,-20.34,-25.66,-32.31,-20.56,5.42,-16.5,-16.95,-19.82,-25.81,-11.17,-20.34,-40.68,-18.44,-20.34,-13.13,-24.41,-32.09,-35.98,-15.91,-18.49
"15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray)",9.52,21.36,2.71,-1.83,17.9,4.79,3.92,8.54,2.75,13.35,12.42,8.0,8.03,12.81,12.56,4.75,12.53,-5.42,1.44,-0.15,19.61,8.54,-8.54,8.54,-7.53,3.43,-5.4,-6.34,-4.67,17.97,11.19,12.2,-4.07,8.77,11.39,14.64,1.64,6.34,4.25
ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X,-3.55,-4.29,-2.31,-7.09,-0.65,-2.17,-4.95,1.17,0.02,-3.36,-5.34,-4.89,-3.53,0.47,0.54,1.04,-1.34,-2.29,-0.69,-1.65,0.22,-4.81,-1.74,-6.47,-0.81,-5.5,-1.29,-1.65,-0.28,-2.38,-0.52,-1.71,-0.6,-0.93,-1.56,-2.81,0.87,-2.28,-0.43
"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray""",-13.36,-11.71,-12.69,-25.59,-16.34,-22.67,-21.37,-14.96,-4.77,-12.2,-16.96,-16.15,-10.16,-21.68,-12.44,-7.23,-20.57,-34.94,-12.5,-32.84,-3.25,-38.02,-16.34,-9.97,-13.59,-37.54,-14.76,-24.1,7.14,-22.65,-27.11,-2.86,-34.62,3.12,-14.89,-37.59,-42.12,-35.28,-22.74
Acer 15.6 Chromebook CB5-571-C4G4,-0.13,-1.01,-1.0,-1.77,-0.78,-1.67,0.14,-0.69,-1.39,-1.14,-1.44,-1.13,-0.6,-1.66,-0.53,-1.37,-1.67,1.47,-0.26,-1.03,-0.77,-1.81,-0.74,-4.16,-0.71,0.08,-1.14,-1.21,-0.24,-0.98,0.18,-1.82,-1.56,-2.36,-1.18,-1.3,-0.61,0.46,0.78
"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver""",-13.68,-5.86,-12.13,-15.15,-6.19,-6.4,-20.94,-11.73,-17.84,-18.02,-9.43,-10.62,-8.75,-8.15,-12.43,-8.96,-8.51,-44.8,-10.35,-21.92,-11.52,-15.96,-15.8,13.68,-27.2,-44.29,-13.72,-16.35,6.61,-18.19,-36.38,-2.74,-35.68,2.75,-8.15,-26.72,-40.79,-34.21,-28.43
